id,given_name,family_name,mnis_id,label
781,Tim,Farron,1591,"Farron, Tim"
782,John,Penrose,1584,"Penrose, John"
783,Lisa,Nandy,4082,"Nandy, Lisa"
784,Stephen,Hammond,1585,"Hammond, Stephen"
785,Steve,Brine,4067,"Brine, Steve"
786,Adam,Afriyie,1586,"Afriyie, Adam"
787,Alison,McGovern,4083,"McGovern, Alison"
788,Esther,McVey,4084,"McVey, Esther"
789,Margaret,Greenwood,4400,"Greenwood, Margaret"
790,Priti,Patel,4066,"Patel, Priti"
791,David,Cameron,1467,"Cameron, David"
792,Jonathan,Lord,4090,"Lord, Jonathan"
793,John,Redwood,14,"Redwood, John"
794,Emma,Reynolds,4077,"Reynolds, Emma"
795,Pat,McFadden,1587,"McFadden, Pat"
796,Paul,Uppal,4078,"Uppal, Paul"
797,Rob,Marris,1468,"Marris, Rob"
798,Robin,Walker,4091,"Walker, Robin"
799,Sue,Hayman,4395,"Hayman, Sue"
800,Mark,Jenkinson,4752,"Jenkinson, Mark"
801,Barbara,Keeley,1588,"Keeley, Barbara"
802,Peter,Bottomley,117,"Bottomley, Peter"
803,Ian,Lucas,1470,"Lucas, Ian"
804,Steve,Baker,4064,"Baker, Steve"
805,Ben,Wallace,1539,"Wallace, Ben"
806,Mark,Garnier,4074,"Garnier, Mark"
807,Richard,Taylor,1472,"Taylor, Richard"
808,Mike,Kane,4316,"Kane, Mike"
809,Marcus,Fysh,4446,"Fysh, Marcus"
810,David,Laws,1473,"Laws, David"
811,Albert,Owen,1474,"Owen, Albert"
812,Rachael,Maskell,4471,"Maskell, Rachael"
813,Julian,Sturdy,4079,"Sturdy, Julian"
814,Andrew,Western,4979,"Western, Andrew"
815,Kirstene,Hair,4675,"Hair, Kirstene"
816,Bill,Grant,4605,"Grant, Bill"
817,David,Duguid,4606,"Duguid, David"
818,Tracy,Brabin,4588,"Brabin, Tracy"
819,Marsha,De Cordova,4676,"De Cordova, Marsha"
820,Mohammad,Yasin,4598,"Yasin, Mohammad"
821,John,Finucane,4823,"Finucane, John"
822,Emma,Little Pengelly,4611,"Little Pengelly, Emma"
823,Siobhan,Baillie,4847,"Baillie, Siobhan"
824,Preet,Gill,4603,"Gill, Preet"
825,Liz,Twist,4618,"Twist, Liz"
826,Ian,Levy,4749,"Levy, Ian"
827,Robert,Largan,4852,"Largan, Robert"
828,Jamie,Stone,4612,"Stone, Jamie"
829,Ben,Spencer,4785,"Spencer, Ben"
830,Rosie,Duffield,4616,"Duffield, Rosie"
831,Anna,McMorrin,4632,"McMorrin, Anna"
832,Neil,Hamilton,731,"Hamilton, Neil"
833,Ben,Lake,4630,"Lake, Ben"
834,Vicky,Ford,4674,"Ford, Vicky"
835,Simon,Baynes,4800,"Baynes, Simon"
836,Hugh,Gaffney,4614,"Gaffney, Hugh"
837,Thelma,Walker,4649,"Walker, Thelma"
838,Trudy,Harrison,4593,"Harrison, Trudy"
839,Laura,Smith,4648,"Smith, Laura"
840,Aaron,Bell,4837,"Bell, Aaron"
841,Tom,Hunt,4771,"Hunt, Tom"
842,Alister,Jack,4619,"Jack, Alister"
843,Joy,Morrissey,4759,"Morrissey, Joy"
844,Mark,Logan,4815,"Logan, Mark"
845,Martin,Whitfield,4626,"Whitfield, Martin"
846,Paul,Masterton,4625,"Masterton, Paul"
847,Christine,Jardine,4634,"Jardine, Christine"
848,Elisha,McCallion,4624,"McCallion, Elisha"
849,David,Linden,4640,"Linden, David"
850,Paul,Sweeney,4642,"Sweeney, Paul"
851,Colin,Clark,4650,"Clark, Colin"
852,Tonia,Antoniazzi,4623,"Antoniazzi, Tonia"
853,Neil,O'Brien,4679,"O'Brien, Neil"
854,Greg,Smith,4778,"Smith, Greg"
855,Ruth,George,4662,"George, Ruth"
856,Julia,Dockerill,4647,"Dockerill, Julia"
857,Paul,Howell,4830,"Howell, Paul"
858,Scott,Benton,4793,"Benton, Scott"
859,Sandy,Martin,4678,"Martin, Sandy"
860,Bob,Seely,4681,"Seely, Bob"
861,Emma,Dent Coad,4683,"Dent Coad, Emma"
862,Emma,Hardy,4645,"Hardy, Emma"
863,Lesley,Laird,4660,"Laird, Lesley"
864,Gareth,Davies,4850,"Davies, Gareth"
865,James,Grundy,4843,"Grundy, James"
866,Joanne,Platt,4673,"Platt, Joanne"
867,Shaun,Bailey,4987,"Bailey, Shaun"
868,Ellie,Reeves,4620,"Reeves, Ellie"
869,Laura,Farris,4826,"Farris, Laura"
870,Karen,Lee,4664,"Lee, Karen"
871,Dan,Carden,4651,"Carden, Dan"
872,Afzal,Khan,4671,"Khan, Afzal"
873,Ben,Bradley,4663,"Bradley, Ben"
874,Danielle,Rowley,4628,"Rowley, Danielle"
875,James,Wild,4787,"Wild, James"
876,Sally-Ann,Hart,4842,"Hart, Sally-Ann"
877,Laura,Pidcock,4665,"Pidcock, Laura"
878,Andrew,Lewer,4659,"Lewer, Andrew"
879,Alex,Norris,4641,"Norris, Alex"
880,Luke,Graham,4622,"Graham, Luke"
881,Jamie,Wallis,4766,"Wallis, Jamie"
882,Jim,McMahon,4569,"McMahon, Jim"
883,Anneliese,Dodds,4657,"Dodds, Anneliese"
884,Fiona,Onasanya,4629,"Onasanya, Fiona"
885,Stephen,Morgan,4653,"Morgan, Stephen"
886,Peter,Gibson,4754,"Gibson, Peter"
887,Virginia,Crosbie,4859,"Crosbie, Virginia"
888,Sarah,Olney,4591,"Olney, Sarah"
889,Tony,Lloyd,450,"Lloyd, Tony"
890,Ashley,Dalton,4981,"Dalton, Ashley"
891,Gerard,Killen,4672,"Killen, Gerard"
892,Kemi,Badenoch,4597,"Badenoch, Kemi"
893,Holly,Mumby-Croft,4867,"Mumby-Croft, Holly"
894,Gill,Furniss,4571,"Furniss, Gill"
895,Jared,O'Mara,4661,"O'Mara, Jared"
896,Caroline,Johnson,4592,"Johnson, Caroline"
897,Paul,Girvan,4633,"Girvan, Paul"
898,Paul,Williams,4666,"Williams, Paul"
899,Gareth,Snell,4595,"Snell, Gareth"
900,Jack,Brereton,4643,"Brereton, Jack"
901,Rosena,Allin-Khan,4573,"Allin-Khan, Rosena"
902,Eddie,Hughes,4635,"Hughes, Eddie"
903,Anthony,Mangnall,4762,"Mangnall, Anthony"
904,Faisal,Rashid,4670,"Rashid, Faisal"
905,Matt,Western,4617,"Western, Matt"
906,Jonathan,Gullis,4814,"Gullis, Jonathan"
907,Mike,Amesbury,4667,"Amesbury, Mike"
908,Andrew,Bowie,4601,"Bowie, Andrew"
909,Barry,McElduff,4646,"McElduff, Barry"
910,Robert,Courts,4589,"Courts, Robert"
911,Eleanor,Smith,4609,"Smith, Eleanor"
912,Ieuan,Wyn Jones,550,"Wyn Jones, Ieuan"
913,Robin,Millar,4746,"Millar, Robin"
914,Stephen,Flynn,4735,"Flynn, Stephen"
915,Dave,Doogan,4736,"Doogan, Dave"
916,Andrew,Griffith,4874,"Griffith, Andrew"
917,Lee,Anderson,4743,"Anderson, Lee"
918,Rob,Butler,4745,"Butler, Rob"
919,Allan,Dorans,4740,"Dorans, Allan"
920,Brendan,Clarke-Smith,4756,"Clarke-Smith, Brendan"
921,Claire,Hanna,4827,"Hanna, Claire"
922,Mick,Whitley,4755,"Whitley, Mick"
923,Tahir,Ali,4747,"Ali, Tahir"
924,Gary,Sambrook,4760,"Sambrook, Gary"
925,Luke,Evans,4781,"Evans, Luke"
926,James,Sunderland,4767,"Sunderland, James"
927,Fay,Jones,4763,"Jones, Fay"
928,Jerome,Mayhew,4739,"Mayhew, Jerome"
929,Darren,Henry,4794,"Henry, Darren"
930,Stephen,Dorrell,336,"Dorrell, Stephen"
931,Antony,Higginbotham,4833,"Higginbotham, Antony"
932,Kate,Griffiths,4773,"Griffiths, Kate"
933,Christian,Wakeford,4871,"Wakeford, Christian"
934,Anna,Firth,4936,"Firth, Anna"
935,Elliot,Colburn,4775,"Colburn, Elliot"
936,Nickie,Aiken,4741,"Aiken, Nickie"
937,Mary,Foy,4753,"Foy, Mary"
938,Steven,Bonnar,4748,"Bonnar, Steven"
939,Taiwo,Owatemi,4779,"Owatemi, Taiwo"
940,Zarah,Sultana,4786,"Sultana, Zarah"
941,Beth,Winter,4809,"Winter, Beth"
942,Rob,Roberts,4810,"Roberts, Rob"
943,Sarah,Dines,4816,"Dines, Sarah"
944,Danny,Kruger,4858,"Kruger, Danny"
945,Mark,Eastwood,4807,"Eastwood, Mark"
946,Nick,Fletcher,4832,"Fletcher, Nick"
947,Natalie,Elphicke,4795,"Elphicke, Natalie"
948,Marco,Longhi,4789,"Longhi, Marco"
949,James,Murray,4797,"Murray, James"
950,Simon,Jupp,4862,"Jupp, Simon"
951,Amy,Callaghan,4770,"Callaghan, Amy"
952,Kenny,MacAskill,4772,"MacAskill, Kenny"
953,Claire,Coutinho,4806,"Coutinho, Claire"
954,Louie,French,4932,"French, Louie"
955,Feryal,Clark,4822,"Clark, Feryal"
956,Abena,Oppong-Asare,4820,"Oppong-Asare, Abena"
957,Colum,Eastwood,4846,"Eastwood, Colum"
958,Tom,Randall,4845,"Randall, Tom"
959,Richard,Thomson,4796,"Thomson, Richard"
960,Lia,Nici,4851,"Nici, Lia"
961,Angela,Richardson,4840,"Richardson, Angela"
962,Sara,Britcliffe,4838,"Britcliffe, Sara"
963,Sam,Tarry,4829,"Tarry, Sam"
964,Kate,Osborne,4783,"Osborne, Kate"
965,Robbie,Moore,4861,"Moore, Robbie"
966,Neale,Hanvey,4782,"Hanvey, Neale"
967,Jill,Mortimer,4916,"Mortimer, Jill"
968,Claudia,Webbe,4848,"Webbe, Claudia"
970,Kim,Johnson,4824,"Johnson, Kim"
971,Paula,Barker,4828,"Barker, Paula"
972,Ian,Byrne,4831,"Byrne, Ian"
973,Rachel,Hopkins,4873,"Hopkins, Rachel"
974,Saqib,Bhatti,4818,"Bhatti, Saqib"
975,Ben,Everitt,4836,"Everitt, Ben"
976,Stephen,Farry,4856,"Farry, Stephen"
977,Wendy,Chamberlain,4765,"Chamberlain, Wendy"
978,Duncan,Baker,4784,"Baker, Duncan"
979,Helen,Morgan,4934,"Morgan, Helen"
980,Nadia,Whittome,4869,"Whittome, Nadia"
981,Gareth,Bacon,4798,"Bacon, Gareth"
982,Miriam,Cates,4865,"Cates, Miriam"
983,Neil,Hudson,4853,"Hudson, Neil"
984,Paul,Bristow,4792,"Bristow, Paul"
985,Ann,Widdecombe,85,"Widdecombe, Ann"
986,Alex,Davies-Jones,4849,"Davies-Jones, Alex"
987,Apsana,Begum,4790,"Begum, Apsana"
988,Fleur,Anderson,4788,"Anderson, Fleur"
989,Alexander,Stafford,4866,"Stafford, Alexander"
990,David,Simmonds,4872,"Simmonds, David"
991,Ruth,Edwards,4808,"Edwards, Ruth"
992,Alicia,Kearns,4805,"Kearns, Alicia"
993,Laura,Trott,4780,"Trott, Laura"
994,Olivia,Blake,4864,"Blake, Olivia"
995,Anthony,Browne,4801,"Browne, Anthony"
996,Gagan,Mohindra,4804,"Mohindra, Gagan"
997,Alyn,Smith,4738,"Smith, Alyn"
998,Navendu,Mishra,4811,"Mishra, Navendu"
999,Matt,Vickers,4844,"Vickers, Matt"
1000,Suzanne,Webb,4802,"Webb, Suzanne"
1001,Bell,Ribeiro-Addy,4764,"Ribeiro-Addy, Bell"
1002,Cherilyn,Mackrory,4758,"Mackrory, Cherilyn"
1003,Munira,Wilson,4776,"Wilson, Munira"
1004,Carla,Lockhart,4857,"Lockhart, Carla"
1005,Florence,Eshalomi,4870,"Eshalomi, Florence"
1006,Imran,Ahmad Khan,4841,"Ahmad Khan, Imran"
1007,David,Johnston,4761,"Johnston, David"
1008,Charlotte,Nichols,4799,"Nichols, Charlotte"
1009,Andy,Carter,4791,"Carter, Andy"
1010,Nicola,Richards,4868,"Richards, Nicola"
1011,Shaun,Bailey,4757,"Bailey, Shaun"
1012,Chris,Loder,4751,"Loder, Chris"
1013,Órfhlaith,Begley,4697,"Begley, Órfhlaith"
1014,Jane,Stevenson,4750,"Stevenson, Jane"
1015,Stuart,Anderson,4742,"Anderson, Stuart"
1016,Sarah,Atherton,4855,"Atherton, Sarah"
1017,Hywel,Francis,1382,"Francis, Hywel"
1018,Frank,Doran,570,"Doran, Frank"
1019,Richard,Shepherd,295,"Shepherd, Richard"
1020,Judy,Mallaber,324,"Mallaber, Judy"
1021,Sarah,Green,4918,"Green, Sarah"
1022,David,Heyes,1386,"Heyes, David"
1023,Tony,Baldry,93,"Baldry, Tony"
1024,Eric,Illsley,386,"Illsley, Eric"
1025,Don,Foster,214,"Foster, Don"
1026,Mike,Wood,401,"Wood, Mike"
1027,Martin,Linton,141,"Linton, Martin"
1028,Peter,Robinson,642,"Robinson, Peter"
1029,Gerry,Adams,645,"Adams, Gerry"
1030,Alan,Beith,513,"Beith, Alan"
1031,Gregory,Barker,1389,"Barker, Gregory"
1032,Jack,Straw,463,"Straw, Jack"
1033,Dai,Davies,1602,"Davies, Dai"
1034,Joe,Benton,479,"Benton, Joe"
1035,Mark,Simmonds,1393,"Simmonds, Mark"
1036,Terry,Rooney,402,"Rooney, Terry"
1037,Gerry,Sutcliffe,403,"Sutcliffe, Gerry"
1038,Marsha,Singh,404,"Singh, Marsha"
1039,Brooks,Newmark,1488,"Newmark, Brooks"
1040,Sarah,Teather,1170,"Teather, Sarah"
1041,Ann,Keen,148,"Keen, Ann"
1042,Ian,Cawsey,369,"Cawsey, Ian"
1043,Dawn,Primarolo,217,"Primarolo, Dawn"
1044,David,Ruffley,133,"Ruffley, David"
1045,Aidan,Burley,3937,"Burley, Aidan"
1046,Jonathan,Evans,1166,"Evans, Jonathan"
1047,Julie,Morgan,561,"Morgan, Julie"
1048,Alun,Michael,562,"Michael, Alun"
1049,Nick,Ainger,537,"Ainger, Nick"
1050,Bob,Spink,1214,"Spink, Bob"
1051,Jonathan,Shaw,78,"Shaw, Jonathan"
1052,Paul,Holmes,1404,"Holmes, Paul"
1053,Christine,Russell,424,"Russell, Christine"
1054,Ivan,Henderson,38,"Henderson, Ivan"
1055,Shona,McIsaac,370,"McIsaac, Shona"
1056,Louise,Bagshawe,3959,"Bagshawe, Louise"
1057,Phil,Hope,351,"Hope, Phil"
1058,Bob,Ainsworth,306,"Ainsworth, Bob"
1059,Andrew,Pelling,1505,"Pelling, Andrew"
1060,Malcolm,Wicks,156,"Wicks, Malcolm"
1061,Richard,Ottaway,157,"Ottaway, Richard"
1062,Shahid,Malik,1509,"Malik, Shahid"
1063,Gwyn,Prosser,80,"Prosser, Gwyn"
1064,Chris,Kelly,3975,"Kelly, Chris"
1065,Tessa,Jowell,159,"Jowell, Tessa"
1066,Peter,Duncan,1417,"Duncan, Peter"
1067,Jim,McGovern,1515,"McGovern, Jim"
1068,Willie,Rennie,1600,"Rennie, Willie"
1069,Elfyn,Llwyd,549,"Llwyd, Elfyn"
1070,William,Ross,647,"Ross, William"
1071,Nigel,Waterson,25,"Waterson, Nigel"
1072,Chris,Huhne,1517,"Huhne, Chris"
1073,Stephen,O'Brien,427,"O'Brien, Stephen"
1074,Alistair,Darling,596,"Darling, Alistair"
1075,Andy,Love,164,"Love, Andy"
1076,Andrew,Miller,428,"Miller, Andrew"
1077,Jessica,Lee,3993,"Lee, Jessica"
1078,Eric,Joyce,603,"Joyce, Eric"
1079,Mark,Hoban,1414,"Hoban, Mark"
1080,Hugh,Robertson,1415,"Robertson, Hugh"
1081,Alan,Keen,169,"Keen, Alan"
1082,John,Mason,1607,"Mason, John"
1083,Lindsay,Roy,1608,"Roy, Lindsay"
1084,Parmjit,Dhanda,1420,"Dhanda, Parmjit"
1085,Malcolm,Bruce,615,"Bruce, Malcolm"
1086,Martin,Caton,566,"Caton, Martin"
1087,Austin,Mitchell,372,"Mitchell, Austin"
1088,Anthony,Wright,125,"Wright, Anthony"
1089,Nick,Raynsford,171,"Raynsford, Nick"
1090,Sue,Doughty,1422,"Doughty, Sue"
1091,Linda,Riordan,1525,"Riordan, Linda"
1092,Glenda,Jackson,175,"Jackson, Glenda"
1093,Bill,Rammell,37,"Rammell, Bill"
1094,Tony,McNulty,176,"McNulty, Tony"
1095,Michael,Foster,26,"Foster, Michael"
1096,David,Willetts,53,"Willetts, David"
1097,Andrew,Stunell,445,"Stunell, Andrew"
1098,James,Clappison,67,"Clappison, James"
1099,Jim,Dobbin,446,"Dobbin, Jim"
1100,Frank,Dobson,180,"Dobson, Frank"
1101,Francis,Maude,115,"Maude, Francis"
1102,Mike,Weatherley,3984,"Weatherley, Mike"
1103,Celia,Barlow,1532,"Barlow, Celia"
1104,David,Cairns,1421,"Cairns, David"
1105,Chris,Mole,1475,"Mole, Chris"
1106,Malcolm,Rifkind,1191,"Rifkind, Malcolm"
1107,Phil,Sawford,353,"Sawford, Phil"
1108,Roger,Berry,219,"Berry, Roger"
1109,Gordon,Brown,591,"Brown, Gordon"
1110,George,Mudie,414,"Mudie, George"
1111,Peter,Soulsby,1592,"Soulsby, Peter"
1112,Parmjit,Gill,1172,"Gill, Parmjit"
1113,Joan,Ruddock,190,"Ruddock, Joan"
1114,Andy,Reed,341,"Reed, Andy"
1115,Peter,Tapsell,348,"Tapsell, Peter"
1116,Christopher,Gill,273,"Gill, Christopher"
1117,Dai,Havard,1430,"Havard, Dai"
1118,Annette,Brooke,1431,"Brooke, Annette"
1119,Martin,McGuinness,651,"McGuinness, Martin"
1120,Peter,Luff,268,"Luff, Peter"
1121,Stuart,Bell,501,"Bell, Stuart"
1122,David,Hamilton,1432,"Hamilton, David"
1123,Phyllis,Starkey,19,"Starkey, Phyllis"
1124,Lembit,Opik,559,"Opik, Lembit"
1125,Geraldine,Smith,471,"Smith, Geraldine"
1126,Peter,Hain,567,"Hain, Peter"
1127,Patrick,Mercer,1435,"Mercer, Patrick"
1128,Conor,Murphy,1595,"Murphy, Conor"
1129,Robert,Walter,244,"Walter, Robert"
1130,Menzies,Campbell,627,"Campbell, Menzies"
1131,James,Arbuthnot,56,"Arbuthnot, James"
1132,Dan,Norris,221,"Norris, Dan"
1133,Daniel,Byles,4112,"Byles, Daniel"
1134,George,Young,57,"Young, George"
1135,Brian,Binley,1550,"Binley, Brian"
1136,Charles,Clarke,130,"Clarke, Charles"
1137,Annabelle,Ewing,1443,"Ewing, Annabelle"
1138,Phil,Woolas,453,"Woolas, Phil"
1139,Evan,Harris,96,"Harris, Evan"
1140,Gordon,Prentice,472,"Prentice, Gordon"
1141,Linda,Gilroy,233,"Gilroy, Linda"
1142,Sarah,McCarthy-Fry,1553,"McCarthy-Fry, Sarah"
1143,Ian,Swales,4045,"Swales, Ian"
1144,Vera,Baird,1445,"Baird, Vera"
1145,Jacqui,Smith,269,"Smith, Jacqui"
1146,William,Hague,379,"Hague, William"
1147,Susan,Kramer,1557,"Kramer, Susan"
1148,Paul,Rowen,1558,"Rowen, Paul"
1149,Sandra,Gidley,60,"Gidley, Sandra"
1150,Janet,Anderson,475,"Anderson, Janet"
1151,Denis,Macshane,393,"Macshane, Denis"
1152,Andy,King,292,"King, Andy"
1153,Hazel,Blears,456,"Blears, Hazel"
1154,David,Blunkett,395,"Blunkett, David"
1155,Meg,Munn,1448,"Munn, Meg"
1156,David,Heath,255,"Heath, David"
1157,Angela,Smith,4170,"Smith, Angela"
1158,Andrew,Lansley,123,"Lansley, Andrew"
1159,Jim,Knight,4160,"Knight, Jim"
1160,James,Paice,124,"Paice, James"
1161,Andrew,Robathan,334,"Robathan, Andrew"
1162,Lorraine,Fullbrook,4121,"Fullbrook, Lorraine"
1163,David,Borrow,476,"Borrow, David"
1164,David,Miliband,1452,"Miliband, David"
1165,Tim,Yeo,136,"Yeo, Tim"
1166,Laura,Sandys,4094,"Sandys, Laura"
1167,Stephen,Ladyman,90,"Ladyman, Stephen"
1168,John,Denham,61,"Denham, John"
1169,Dave,Watts,489,"Watts, Dave"
1170,Shaun,Woodward,98,"Woodward, Shaun"
1171,David,Kidney,283,"Kidney, David"
1172,Charlotte,Atkins,284,"Atkins, Charlotte"
