Parliament,Number in Parliament,Start date,End date,Citation,Regnal year citation,Wikidata Id
1,1,22/01/1801,02/07/1801,1801-01,41 Geo. 3,Q108997882
1,2,29/10/1801,28/06/1802,1801-02,42 Geo. 3,Q108997881
2,1,16/11/1802,12/08/1803,1802-03,43 Geo. 3,Q108997880
2,2,22/11/1803,31/07/1804,1803-04,44 Geo. 3,Q108997879
2,3,15/01/1805,12/07/1805,1805-05,45 Geo. 3,Q108997878
2,4,21/01/1806,23/07/1806,1806-06,46 Geo. 3,Q108997877
3,1,15/12/1806,27/04/1807,1806-07,47 Geo. 3,Q108997876
4,1,22/06/1807,14/08/1807,1807-07,47 Geo. 3,Q108997875
4,2,21/01/1808,04/07/1808,1808-08,48 Geo. 3,Q108997874
4,3,19/01/1809,21/06/1809,1809-09,49 Geo. 3,Q108997873
4,4,23/01/1810,21/06/1810,1810-10,50 Geo. 3,Q108997872
4,5,01/11/1810,24/07/1811,1810-11,51 Geo. 3,Q108997871
4,6,07/01/1812,30/07/1812,1812-12,52 Geo. 3,Q108997870
5,1,24/11/1812,22/07/1813,1812-13,53 Geo. 3,Q108997869
5,2,04/11/1813,30/07/1814,1813-14,54 Geo. 3,Q108997868
5,3,08/11/1814,12/07/1815,1814-15,55 Geo. 3,Q108997867
5,4,01/02/1816,02/07/1816,1816-16,56 Geo. 3,Q108997866
5,5,28/01/1817,12/07/1817,1817-17,57 Geo. 3,Q108997865
5,6,27/01/1818,10/06/1818,1818-18,58 Geo. 3,Q108997864
6,1,14/01/1819,13/07/1819,1819-19,59 Geo. 3,Q108997863
6,2,23/11/1819,28/02/1820,1819-20,60 Geo. 3 & 1 Geo. 4,Q108997862
7,1,21/04/1820,23/11/1820,1820-20,1 Geo. 4,Q108997855
7,2,23/01/1821,11/07/1821,1821-21,1 & 2 Geo. 4,Q108997842
7,3,05/02/1822,06/08/1822,1822-22,3 Geo. 4,Q108997828
7,4,04/02/1823,19/07/1823,1823-23,4 Geo. 4,Q108997815
7,5,03/02/1824,25/06/1824,1824-24,5 Geo. 4,Q108997803
7,6,03/02/1825,06/07/1825,1825-25,6 Geo. 4,Q108997790
7,7,02/02/1826,31/05/1826,1826-26,7 Geo. 4,Q108997775
8,1,14/11/1826,02/07/1827,1826-27,7 & 8 Geo. 4,Q108997764
8,2,29/01/1828,28/07/1828,1828-28,9 Geo. 4,Q108997763
8,3,05/02/1829,24/06/1829,1829-29,10 Geo. 4,Q108997762
8,4,04/02/1830,04/06/1830,1830-30,11 Geo. 4,Q108997761
9,1,26/10/1830,22/04/1831,1830-31,1 Will. 4,Q108997760
10,1,14/06/1831,20/10/1831,1831-31,1 & 2 Will. 4,Q108997759
10,2,06/12/1831,16/08/1832,1831-32,2 & 3 Will. 4,Q108997758
11,1,29/01/1833,29/08/1833,1833-33,3 & 4 Will. 4,Q108997757
11,2,04/02/1834,15/08/1834,1834-34,4 & 5 Will. 4,Q108997756
12,1,19/02/1835,10/09/1835,1835-35,5 & 6 Will. 4,Q108997755
12,2,04/02/1836,20/08/1836,1836-36,6 & 7 Will. 4,Q108997754
12,3,31/01/1837,17/07/1837,1837-37,7 Will. 4 & 1 Vict.,Q108997753
13,1,15/11/1837,16/08/1838,1837-38,1 & 2 Vict.,Q108997752
13,2,05/02/1839,27/08/1839,1839-39,2 & 3 Vict.,Q108997751
13,3,16/01/1840,11/08/1840,1840-40,3 & 4 Vict.,Q108997748
13,4,26/01/1841,22/06/1841,1841-41 Session I,4 & 5 Vict.,Q108997747
14,1,19/08/1841,07/10/1841,1841-41 Session II,5 Vict.,Q108997746
14,2,03/02/1842,12/08/1842,1842-42,5 & 6 Vict.,Q108997745
14,3,02/02/1843,24/08/1843,1843-43,6 & 7 Vict.,Q108997744
14,4,01/02/1844,05/09/1844,1844-44,7 & 8 Vict.,Q108997743
14,5,04/02/1845,09/08/1845,1845-45,8 & 9 Vict.,Q108997742
14,6,22/01/1846,28/08/1846,1846-46,9 & 10 Vict.,Q108997741
14,7,19/01/1847,23/07/1847,1847-47,10 & 11 Vict.,Q108997740
15,1,18/11/1847,05/09/1848,1847-48,11 & 12 Vict.,Q108997739
15,2,01/02/1849,01/08/1849,1849-49,12 & 13 Vict.,Q108997738
15,3,31/01/1850,15/08/1850,1850-50,13 & 14 Vict.,Q108997737
15,4,04/02/1851,08/08/1851,1851-51,14 & 15 Vict.,Q108997736
15,5,03/02/1852,01/07/1852,1852-52,15 & 16 Vict.,Q108997735
16,1,04/11/1852,20/08/1853,1852-1853,16 & 17 Vict.,Q108997734
16,2,31/01/1854,12/08/1854,1854-54,17 & 18 Vict.,Q108997733
16,3,12/12/1854,14/08/1855,1854-55,18 & 19 Vict.,Q108997732
16,4,31/01/1856,29/07/1856,1856-56,19 & 20 Vict.,Q108997723
16,5,03/02/1857,21/03/1857,1857-57 Session I,20 Vict.,Q108997708
17,1,30/04/1857,28/08/1857,1857-57 Session II,20 & 21 Vict.,Q108997692
17,2,03/12/1857,02/08/1858,1857-58,21 & 22 Vict.,Q108997676
17,3,03/02/1859,19/04/1859,1859-59 Session I,22 Vict.,Q108997659
18,1,31/05/1859,13/08/1859,1859-59 Session II,22 & 23 Vict.,Q108997645
18,2,24/01/1860,28/08/1860,1860-60,23 & 24 Vict.,Q108997635
18,3,05/02/1861,06/08/1861,1861-61,24 & 25 Vict.,Q108997634
18,4,06/02/1862,07/08/1862,1862-62,25 & 26 Vict.,Q108997633
18,5,05/02/1863,28/07/1863,1863-63,26 & 27 Vict.,Q108997632
18,6,04/02/1864,29/07/1864,1864-64,27 & 28 Vict.,Q108997631
18,7,07/02/1865,06/07/1865,1865-65,28 & 29 Vict.,Q108997630
19,1,01/02/1866,10/08/1866,1866-66,29 & 30 Vict.,Q108997629
19,2,05/02/1867,21/08/1867,1867-67,30 & 31 Vict.,Q108997628
19,3,13/02/1868,31/07/1868,1868-68,31 & 32 Vict.,Q108997627
20,1,10/12/1868,11/08/1869,1868-69,32 & 33 Vict.,Q108997626
20,2,08/02/1870,10/08/1870,1870-70,33 & 34 Vict.,Q108997625
20,3,09/02/1871,21/08/1871,1871-71,34 & 35 Vict.,Q108997624
20,4,06/02/1872,10/08/1872,1872-72,35 & 36 Vict.,Q108997623
20,5,06/02/1873,05/08/1873,1873-73,36 & 37 Vict.,Q108997622
21,1,05/03/1874,07/08/1874,1874-74,37 & 38 Vict.,Q108997621
21,2,05/02/1875,13/08/1875,1875-75,38 & 39 Vict.,Q108997620
21,3,08/02/1876,15/08/1876,1876-76,39 & 40 Vict.,Q108997619
21,4,08/02/1877,14/08/1877,1877-77,40 & 41 Vict.,Q108997618
21,5,17/01/1878,16/08/1878,1878-78,41 & 42 Vict.,Q108997617
21,6,05/12/1878,15/08/1879,1878-79,42 & 43 Vict.,Q108997616
21,7,05/02/1880,24/03/1880,1880-80 Session I,43 Vict.,Q108997615
22,1,29/04/1880,07/09/1880,1880-80 Session II,43 & 44 Vict.,Q108997614
22,2,24/11/1880,27/08/1881,1880-81,44 & 45 Vict.,Q108997613
22,3,07/02/1882,02/12/1882,1882-82,45 & 46 Vict.,Q108997612
22,4,15/02/1883,25/08/1883,1883-83,46 & 47 Vict.,Q108997611
22,5,05/02/1884,14/08/1884,1884-84,47 & 48 Vict.,Q108997610
22,6,23/10/1884,14/08/1885,1884-85,48 & 49 Vict.,Q108997609
23,1,12/01/1886,25/06/1886,1886-86 Session I,49 & 50 Vict.,Q108997608
24,1,05/08/1886,25/09/1886,1886-86 Session II,50 Vict.,Q108997607
24,2,27/01/1887,16/09/1887,1887-87,50 & 51 Vict.,Q108997606
24,3,09/02/1888,24/12/1888,1888-88,51 & 52 Vict.,Q108997605
24,4,21/02/1889,30/08/1889,1889-89,52 & 53 Vict.,Q108997604
24,5,11/02/1890,18/08/1890,1890-90,53 & 54 Vict.,Q108997603
24,6,25/11/1890,05/08/1891,1890-91,54 & 55 Vict.,Q108997602
24,7,09/02/1892,28/06/1892,1892-92 Session I,55 & 56 Vict.,Q108997599
25,1,04/08/1892,18/08/1892,1892-92 Session II,56 Vict.,Q108997582
25,2,31/01/1893,05/03/1894,1893-94,56 & 57 Vict.,Q108997565
25,3,12/03/1894,25/08/1894,1894-94,57 & 58 Vict.,Q108997550
25,4,05/02/1895,06/07/1895,1895-95 Session I,58 & 59 Vict.,Q108997533
26,1,12/08/1895,05/09/1895,1895-95 Session II,59 Vict.,Q108997518
26,2,11/02/1896,14/08/1896,1894-96,59 & 60 Vict.,Q108997511
26,3,19/01/1897,06/08/1897,1897-97,60 & 61 Vict.,Q108997510
26,4,08/02/1898,12/08/1898,1898-98,61 & 62 Vict.,Q108997509
26,5,07/02/1899,09/08/1899,1899-99 Session I,62 & 63 Vict.,Q108997508
26,6,17/10/1899,27/10/1899,1899-99 Session II,63 Vict.,Q108997507
26,7,30/01/1900,08/08/1900,1900-00 Session I,63 & 64 Vict.,Q108997506
27,1,03/12/1900,15/12/1900,1900-00 Session II,64 Vict.,Q108997505
27,2,23/01/1901,17/08/1901,1901-01,1 Edw. 7,Q108997504
27,3,16/01/1902,18/12/1902,1902-02,1 & 2 Edw. 7,Q108997503
27,4,17/02/1903,14/08/1903,1903-03,3 Edw. 7,Q108997502
27,5,02/02/1904,15/08/1904,1904-04,4 Edw. 7,Q108997501
27,6,14/02/1905,11/08/1905,1905-05,5 Edw. 7,Q108997500
28,1,13/02/1906,21/12/1906,1906-06,6 Edw. 7,Q108997498
28,2,12/02/1907,28/08/1907,1907-07,7 Edw. 7,Q108997497
28,3,29/01/1908,21/12/1908,1908-08,8 Edw. 7,Q108997496
28,4,16/02/1909,03/12/1909,1909-09,9 Edw. 7,Q108997495
29,1,15/02/1910,28/11/1910,1910-10,10 Edw. 7 & 1 Geo. 5,Q108997493
30,1,31/01/1911,16/12/1911,1911-11,1 & 2 Geo. 5,Q108997492
30,2,14/02/1912,07/03/1913,1912-13,2 & 3 Geo. 5,Q108997491
30,3,10/03/1913,15/08/1913,1913-13,3 & 4 Geo. 5,Q108997490
30,4,10/02/1914,18/09/1914,1914-14,4 & 5 Geo. 5,Q108997489
30,5,11/11/1914,27/01/1916,1914-16,5 & 6 Geo. 5,Q108997488
30,6,15/02/1916,22/12/1916,1916-16,6 & 7 Geo. 5,Q108997487
30,7,07/02/1917,06/02/1918,1917-18,7 & 8 Geo. 5,Q108997486
30,8,12/02/1918,21/11/1918,1918-18,8 & 9 Geo. 5,Q108997485
31,1,04/02/1919,23/12/1919,1919-19,9 & 10 Geo. 5,Q108997484
31,2,10/02/1920,23/12/1920,1920-20,10 & 11 Geo. 5,Q108997483
31,3,15/02/1921,10/11/1921,1921-21 Session I,11 & 12 Geo. 5,Q108997482
31,4,14/12/1921,19/12/1921,1921-21 Session II,12 Geo. 5,Q108997481
31,5,07/02/1922,04/08/1922,1922-22 Session I,12 & 13 Geo. 5,Q108997480
32,1,20/11/1922,15/12/1922,1922-22 Session II,13 Geo. 5,Q108997479
32,2,13/02/1923,16/11/1923,1923-23,13 & 14 Geo. 5,Q108997478
33,1,08/01/1924,09/10/1924,1924-24,14 & 15 Geo. 5,Q108997477
34,1,02/12/1924,22/12/1925,1924-25,15 & 16 Geo. 5,Q108997475
34,2,02/02/1926,15/12/1926,1926-26,16 & 17 Geo. 5,Q108997456
34,3,08/02/1927,22/12/1927,1927-27,17 & 18 Geo. 5,Q108997432
34,4,07/02/1928,03/08/1928,1928-28,18 & 19 Geo. 5,Q108997413
34,5,06/11/1928,10/05/1929,1928-29,19 & 20 Geo. 5,Q108997394
35,1,25/06/1929,01/08/1930,1929-30,20 & 21 Geo. 5,Q108997381
35,2,28/10/1930,07/10/1931,1930-31,21 & 22 Geo. 5,Q108997380
36,1,03/11/1931,17/11/1932,1931-32,22 & 23 Geo. 5,Q108997379
36,2,22/11/1932,17/11/1933,1932-33,23 & 24 Geo. 5,Q108997378
36,3,21/11/1933,16/11/1934,1933-34,24 & 25 Geo. 5,Q108997377
36,4,20/11/1934,25/10/1935,1934-35,25 & 26 Geo. 5,Q108997376
37,1,26/11/1935,30/10/1936,1935-36,26 Geo. 5 & 1 Edw. 8,Q108992869
37,2,03/11/1936,22/10/1937,1936-37,1 Edw. 8 & 1 Geo. 6,Q108992867
37,3,26/10/1937,04/11/1938,1937-38,1 & 2 Geo. 6,Q108992866
37,4,08/11/1938,23/11/1939,1938-39,2 & 3 Geo. 6,Q108992865
37,5,28/11/1939,20/11/1940,1939-40,3 & 4 Geo. 6,Q108992864
37,6,21/11/1940,11/11/1941,1940-41,4 & 5 Geo. 6,Q108992863
37,7,12/11/1941,10/11/1942,1941-42,5 & 6 Geo. 6,Q108992862
37,8,11/11/1942,23/11/1943,1942-43,6 & 7 Geo. 6,Q108992861
37,9,24/11/1943,28/11/1944,1943-44,7 & 8 Geo. 6,Q108992860
37,10,29/11/1944,15/06/1945,1944-45,8 & 9 Geo. 6,Q108992859
38,1,01/08/1945,06/11/1946,1945-46,9 & 10 Geo. 6,Q108992858
38,2,12/11/1946,20/10/1947,1946-47,10 & 11 Geo. 6,Q108992857
38,3,21/10/1947,05/09/1948,1947-48,11 & 12 Geo. 6,Q108992856
38,4,14/9/1948,25/10/1948,1948-48,12 Geo. 6,Q108992855
38,5,26/10/1948,16/12/1949,1948-49,"12, 13 & 14 Geo. 6",Q108992854
39,1,01/03/1950,26/10/1950,1950-50,14 Geo. 6,Q108992839
39,2,31/10/1950,04/10/1951,1950-51,14 & 15 Geo. 6,Q108992825
40,1,31/10/1951,30/10/1952,1951-52,15 & 16 Geo. 6 & 1 Eliz. 2,Q108992807
40,2,04/11/1952,29/10/1953,1952-53,1 & 2 Eliz. 2,Q108992787
40,3,03/11/1953,25/11/1954,1953-54,2 & 3 Eliz. 2,Q108992771
40,4,30/11/1954,06/05/1955,1954-55,3 & 4 Eliz. 2,Q108992758
41,1,07/06/1955,05/11/1956,1955-56,4 & 5 Eliz. 2,Q108992757
41,2,06/11/1956,01/11/1957,1956-57,5 & 6 Eliz. 2,Q108992756
41,3,05/11/1957,23/10/1958,1957-58,6 & 7 Eliz. 2,Q108992755
41,4,28/10/1958,18/09/1959,1958-59,7 & 8 Eliz. 2,Q108992754
42,1,20/10/1959,27/10/1960,1959-60,8 & 9 Eliz. 2,Q108991060
42,2,01/11/1960,24/10/1961,1960-61,9 & 10 Eliz. 2,Q108991059
42,3,31/10/1961,25/10/1962,1961-62,10 & 11 Eliz. 2,Q108991057
42,4,30/10/1962,24/10/1963,1962-63,11 & 12 Eliz. 2,Q108991056
42,5,12/11/1963,31/07/1964,1963-64,12 & 13 Eliz. 2,Q108991054
43,1,27/10/1964,08/11/1965,1964-65,13 & 14 Eliz. 2,Q108991053
43,2,09/11/1965,10/03/1966,1965-66,14 & 15 Eliz. 2,Q108991052
44,1,18/04/1966,27/10/1967,1966-67,15 & 16 Eliz. 2,Q108991051
44,2,31/10/1967,25/10/1968,1967-68,16 & 17 Eliz. 2,Q108991050
44,3,30/10/1968,22/10/1969,1968-69,17 & 18 Eliz. 2,Q108991049
44,4,28/10/1969,29/05/1970,1969-70,18 & 19 Eliz. 2,Q108991048
45,1,29/06/1970,28/10/1971,1970-71,19 & 20 Eliz. 2,Q108991047
45,2,02/11/1971,26/10/1972,1971-72,20 & 21 Eliz. 2,Q108991046
45,3,31/10/1972,25/10/1973,1972-73,21 & 22 Eliz. 2,Q108991045
45,4,30/10/1973,08/02/1974,1973-74,22 & 23 Eliz. 2,Q108991044
46,1,06/03/1974,31/07/1974,1974-74,23 Eliz. 2,Q108991043
47,1,22/10/1974,12/11/1975,1974-75,23 & 24 Eliz. 2,Q108991042
47,2,19/11/1975,22/11/1976,1975-76,24 & 25 Eliz. 2,Q108991041
47,3,24/11/1976,26/10/1977,1976-77,25 & 26 Eliz. 2,Q108991040
47,4,03/11/1977,24/10/1978,1977-78,26 & 27 Eliz. 2,Q108991039
47,5,01/11/1978,04/04/1979,1978-79,27 & 28 Eliz. 2,Q108991038
48,1,09/05/1979,13/11/1980,1979-80,28 & 29 Eliz. 2,Q108991036
48,2,20/11/1980,30/10/1981,1980-81,29 & 30 Eliz. 2,Q108991035
48,3,04/11/1981,28/10/1982,1981-82,30 & 31 Eliz. 2,Q108991034
48,4,03/11/1982,13/05/1983,1982-83,31 & 32 Eliz. 2,Q108991027
49,1,15/06/1983,31/10/1984,1983-84,32 & 33 Eliz. 2,Q108991030
49,2,06/11/1984,30/10/1985,1984-85,33 & 34 Eliz. 2,Q108991029
49,3,06/11/1985,07/11/1986,1985-86,34 & 35 Eliz. 2,Q108991028
49,4,12/11/1986,15/05/1987,1986-87,35 & 36 Eliz. 2,Q108991027
50,1,17/06/1987,15/11/1988,1987-88,36 & 37 Eliz. 2,Q108991018
50,2,22/11/1988,16/11/1989,1988-89,37 & 38 Eliz. 2,Q108991016
50,3,21/11/1989,01/11/1990,1989-90,38 & 39 Eliz. 2,Q108991015
50,4,07/11/1990,22/10/1991,1990-91,39 & 40 Eliz. 2,Q108991014
50,5,31/10/1991,16/03/1992,1991-92,40 & 41 Eliz. 2,Q108991013
51,1,27/04/1992,05/11/1993,1992-93,41 & 42 Eliz. 2,Q108991012
51,2,18/11/1993,03/11/1994,1993-94,42 & 43 Eliz. 2,Q108991011
51,3,16/11/1994,08/11/1995,1994-95,43 & 44 Eliz. 2,Q108991010
51,4,15/11/1995,17/10/1996,1995-96,44 & 45 Eliz. 2,Q108991009
51,5,23/10/1996,21/03/1997,1996-97,45 & 46 Eliz. 2,Q108991008
52,1,7/5/1997,19/11/1998,1997-98,46 & 47 Eliz. 2,Q108991007
52,2,24/11/1998,11/11/1999,1998-99,47 & 48 Eliz. 2,Q108991006
52,3,17/11/1999,30/11/2000,1999-00,48 & 49 Eliz. 2,Q108991005
52,4,05/12/2000,11/05/2001,2000-01,49 & 50 Eliz. 2,Q108991003
53,1,13/06/2001,07/11/2002,2001-02,50 & 51 Eliz. 2,Q108991002
53,2,13/11/2002,20/11/2003,2002-03,51 & 52 Eliz. 2,Q108991001
53,3,26/11/2003,18/11/2004,2003-04,52 & 53 Eliz. 2,Q108991000
53,4,23/11/2004,07/04/2005,2004-05,53 & 54 Eliz. 2,Q108990999
54,1,11/05/2005,08/11/2006,2005-06,54 & 55 Eliz. 2,Q108990998
54,2,15/11/2006,30/10/2007,2006-07,55 & 56 Eliz. 2,Q108990997
54,3,06/11/2007,26/11/2008,2007-08,56 & 57 Eliz. 2,Q108990996
54,4,03/12/2008,12/11/2009,2008-09,57 & 58 Eliz. 2,Q108990995
54,5,18/11/2009,08/04/2010,2009-10,58 & 59 Eliz. 2,Q108990993
55,1,18/05/2010,01/05/2012,2010-12,"59, 60 & 61 Eliz. 2",Q108990992
55,2,09/05/2012,25/04/2013,2012-13,61 & 62 Eliz. 2,Q108990991
55,3,08/05/2013,14/05/2014,2013-14,62 & 63 Eliz. 2,Q108990989
55,4,04/06/2014,30/03/2015,2014-15,63 & 64 Eliz. 2,Q108990988
56,1,18/05/2015,12/05/2016,2015-16,64 & 65 Eliz. 2,Q108990875
56,2,18/05/2016,27/04/2017,2016-17,65 & 66 Eliz. 2,Q108990867
57,1,13/06/2017,8/10/2019,2017-19,"66, 67 & 68 Eliz. 2",Q108990856
57,2,14/10/2019,5/11/2019,2019-19,68 Eliz. 2,Q108990847
58,1,17/12/2019,29/4/2021,2019-21,"68, 69 & 70 Eliz. 2",Q108990830
58,2,11/5/2021,28/4/2022,2021-22,70 & 71 Eliz. 2,Q108990808
58,3,10/5/2022,26/10/2023,2022-23,71 Eliz. 2 & 1 & 2 Chas. 3,Q124612314
58,4,7/11/2023,24/5/2024,2023-24,2 Chas. 3 ,Q125399435
59,1,9/7/2024,,2024-25,2 & 3 Chas. 3 ,Q126074934